campaign_id,client_id,number_contacts,contact_duration,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
1,0,1,261,999,0,0,0,2022-may-13
1,1,1,149,999,0,0,0,2022-may-19
1,2,1,226,999,0,0,0,2022-may-23
1,3,1,151,999,0,0,0,2022-may-27
1,4,1,307,999,0,0,0,2022-may-3
1,5,1,198,999,0,0,0,2022-may-5
1,6,1,139,999,0,0,0,2022-may-3
1,7,1,217,999,0,0,0,2022-may-12
1,8,1,380,999,0,0,0,2022-may-21
1,9,1,50,999,0,0,0,2022-may-5
1,10,1,55,999,0,0,0,2022-may-8
1,11,1,222,999,0,0,0,2022-may-9
1,12,1,137,999,0,0,0,2022-may-29
1,13,1,293,999,0,0,0,2022-may-14
1,14,1,146,999,0,0,0,2022-may-29
1,15,1,174,999,0,0,0,2022-may-29
1,16,1,312,999,0,0,0,2022-may-1
1,17,1,440,999,0,0,0,2022-may-9
1,18,1,353,999,0,0,0,2022-may-6
1,19,1,195,999,0,0,0,2022-may-2
1,20,1,38,999,0,0,0,2022-may-2
1,21,1,262,999,0,0,0,2022-may-16
1,22,1,342,999,0,0,0,2022-may-20
1,23,1,181,999,0,0,0,2022-may-10
1,24,1,172,999,0,0,0,2022-may-2
1,25,1,99,999,0,0,0,2022-may-28
1,26,1,93,999,0,0,0,2022-may-30
1,27,1,233,999,0,0,0,2022-may-16
1,28,2,255,999,0,0,0,2022-may-1
1,29,1,362,999,0,0,0,2022-may-22
1,30,1,348,999,0,0,0,2022-may-22
1,31,1,386,999,0,0,0,2022-may-27
1,32,1,73,999,0,0,0,2022-may-25
1,33,1,230,999,0,0,0,2022-may-14
1,34,1,208,999,0,0,0,2022-may-25
1,35,1,336,999,0,0,0,2022-may-22
1,36,1,365,999,0,0,0,2022-may-11
1,37,1,1666,999,0,0,0,2022-may-3
1,38,1,577,999,0,0,0,2022-may-2
1,39,1,137,999,0,0,0,2022-may-20
1,40,1,366,999,0,0,0,2022-may-5
1,41,1,314,999,0,0,0,2022-may-25
1,42,1,160,999,0,0,0,2022-may-22
1,43,1,212,999,0,0,0,2022-may-1
1,44,1,188,999,0,0,0,2022-may-17
1,45,1,22,999,0,0,0,2022-may-28
1,46,1,616,999,0,0,0,2022-may-15
